time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 10:15:00;-10.4;100;13.8;Active;Inactive;Inactive;Inactive;22.8;-31.9;67;Active;Inactive;Active;20.4
01 01 2019 10:20:00;-8.9;52;14.4;Active;Inactive;Inactive;Inactive;27.6;-33.7;29;Active;Inactive;Active;21.6
01 01 2019 10:25:00;-13.5;68;15;Active;Inactive;Inactive;Inactive;25.2;-34.8;21;Active;Inactive;Inactive;14.4
01 01 2019 10:30:00;-15;41;15.6;Active;Inactive;Inactive;Inactive;19.2;-30.6;0;Inactive;Inactive;Inactive;20.4
01 01 2019 10:35:00;-13.1;83;16.1;Active;Inactive;Inactive;Inactive;27.6;-32.1;63;Active;Inactive;Inactive;20.4
01 01 2019 10:40:00;-16;19;16.5;Active;Active;Inactive;Inactive;22.8;-32.3;38;Active;Inactive;Inactive;18
01 01 2019 10:45:00;-13.8;65;17;Active;Inactive;Inactive;Inactive;21.6;-34.8;0;Inactive;Inactive;Inactive;15.6
01 01 2019 10:50:00;-8.8;64;17.3;Active;Inactive;Inactive;Inactive;25.2;-32.9;47;Active;Inactive;Active;16.8
01 01 2019 10:55:00;-10;54;17.7;Active;Inactive;Inactive;Inactive;26.4;-31.4;96;Active;Inactive;Inactive;19.2
01 01 2019 11:00:00;-15.7;24;18;Active;Active;Inactive;Inactive;28.8;-33.4;46;Active;Inactive;Active;19.2
01 01 2019 11:05:00;-16.3;15;18.3;Active;Inactive;Inactive;Inactive;25.2;-33.8;59;Active;Inactive;Inactive;16.8
01 01 2019 11:10:00;-15.7;23;18.7;Active;Inactive;Inactive;Inactive;21.6;-33.3;0;Inactive;Inactive;Inactive;15.6
01 01 2019 11:15:00;-12.9;77;19;Active;Inactive;Inactive;Inactive;24;-30.6;95;Active;Inactive;Inactive;18
01 01 2019 11:20:00;-9.9;100;19.2;Active;Inactive;Inactive;Inactive;25.2;-32.5;54;Active;Inactive;Active;14.4
01 01 2019 11:25:00;-12.9;79;19.5;Active;Inactive;Inactive;Inactive;21.6;-30.7;96;Active;Inactive;Inactive;16.8
01 01 2019 11:30:00;-16.5;10;19.9;Active;Inactive;Inactive;Inactive;26.4;-33.7;38;Active;Inactive;Inactive;16.8
01 01 2019 11:35:00;-14.1;55;20.1;Active;Inactive;Inactive;Inactive;24;-34.9;6;Active;Inactive;Inactive;16.8
01 01 2019 11:40:00;-10;47;20.2;Active;Inactive;Inactive;Inactive;28.8;-31;86;Active;Active;Inactive;19.2
01 01 2019 11:45:00;-16.2;11;20.5;Active;Inactive;Inactive;Inactive;26.4;-32.6;58;Active;Inactive;Inactive;15.6
01 01 2019 11:50:00;-17.6;0;20.7;Active;Inactive;Inactive;Inactive;25.2;-33.8;26;Active;Inactive;Inactive;18
01 01 2019 11:55:00;-16.6;11;21.1;Active;Active;Inactive;Inactive;24;-34;38;Active;Inactive;Inactive;14.4
01 01 2019 12:00:00;-7.9;60;21.2;Active;Active;Active;Inactive;58.8;-31.8;89;Active;Inactive;Active;21.6
01 01 2019 12:05:00;-14.9;42;21.4;Active;Active;Active;Inactive;34.8;-35;9;Active;Active;Active;19.2
01 01 2019 12:10:00;-14.2;54;21.6;Active;Inactive;Active;Inactive;39.6;-32.8;69;Active;Inactive;Inactive;18
01 01 2019 12:15:00;-15.7;30;21.7;Active;Active;Inactive;Inactive;34.8;-34.3;23;Active;Inactive;Active;21.6
01 01 2019 12:20:00;-12.2;96;22.1;Active;Inactive;Active;Inactive;32.4;-35.1;0;Active;Inactive;Active;16.8
01 01 2019 12:25:00;-14.2;58;22.3;Active;Inactive;Inactive;Inactive;26.4;-30.9;0;Inactive;Inactive;Inactive;18
01 01 2019 12:30:00;-12.4;85;22.5;Active;Active;Inactive;Inactive;36;-30;100;Active;Inactive;Inactive;15.6
01 01 2019 12:35:00;-10.9;100;22.7;Active;Inactive;Inactive;Inactive;22.8;-34.8;10;Active;Inactive;Active;18
01 01 2019 12:40:00;-12.7;79;22.9;Active;Active;Inactive;Inactive;34.8;-32.3;72;Active;Inactive;Inactive;19.2
01 01 2019 12:45:00;-16.2;8;23.1;Active;Inactive;Inactive;Inactive;30;-32.5;55;Active;Inactive;Active;20.4
01 01 2019 12:50:00;-15.5;36;23.3;Active;Inactive;Active;Inactive;25.2;-35;16;Active;Inactive;Inactive;20.4
01 01 2019 12:55:00;-13;86;23.5;Active;Inactive;Inactive;Inactive;31.2;-30.9;89;Active;Inactive;Inactive;26.4
01 01 2019 13:00:00;-14.1;57;23.8;Active;Active;Inactive;Inactive;31.2;-32.6;66;Active;Inactive;Inactive;22.8
01 01 2019 13:05:00;-14.2;59;24.1;Active;Inactive;Inactive;Inactive;28.8;-27.9;6;Active;Inactive;Inactive;21.6
01 01 2019 13:10:00;-14.1;55;24.3;Active;Inactive;Active;Inactive;31.2;-31.5;77;Active;Inactive;Inactive;22.8
01 01 2019 13:15:00;-13.5;73;24.6;Active;Inactive;Inactive;Inactive;28.8;-32.5;66;Active;Inactive;Inactive;22.8
01 01 2019 13:20:00;-16.8;15;25.2;Active;Inactive;Active;Inactive;30;-31.6;86;Active;Inactive;Inactive;22.8
01 01 2019 13:25:00;-11.6;97;26.1;Active;Inactive;Inactive;Inactive;31.2;-33.2;48;Active;Inactive;Active;16.8
01 01 2019 13:30:00;-12.4;90;26.7;Active;Inactive;Inactive;Inactive;33.6;-31.5;100;Active;Inactive;Inactive;14.4
01 01 2019 13:35:00;-15;52;26.3;Active;Inactive;Active;Inactive;31.2;-34.3;17;Active;Inactive;Active;20.4
01 01 2019 13:40:00;-14.2;53;25.5;Active;Inactive;Inactive;Active;25.2;-32.9;63;Active;Inactive;Active;19.2
01 01 2019 13:45:00;-12.2;89;25.1;Active;Inactive;Active;Inactive;33.6;-34;52;Active;Inactive;Active;19.2
01 01 2019 13:50:00;-13.7;64;25;Active;Inactive;Inactive;Inactive;28.8;-31;100;Active;Inactive;Inactive;19.2
01 01 2019 13:55:00;-12.6;84;24.8;Active;Inactive;Inactive;Active;27.6;-33.8;38;Active;Inactive;Active;19.2
01 01 2019 14:00:00;-14.4;58;24.8;Active;Inactive;Inactive;Inactive;30;-32.9;73;Active;Inactive;Inactive;18
01 01 2019 14:05:00;-14.8;51;24.7;Active;Inactive;Active;Inactive;31.2;-33.1;81;Active;Inactive;Inactive;19.2
01 01 2019 14:10:00;-14.1;55;24.7;Active;Inactive;Inactive;Active;27.6;-31;86;Active;Inactive;Active;18
01 01 2019 14:15:00;-12.7;80;24.5;Active;Inactive;Inactive;Inactive;30;-31.8;72;Active;Inactive;Inactive;19.2
01 01 2019 14:20:00;-13.7;66;24.5;Active;Inactive;Inactive;Inactive;27.6;-31.4;83;Active;Inactive;Inactive;20.4
01 01 2019 14:25:00;-15.4;34;24.4;Active;Inactive;Inactive;Inactive;31.2;-32.4;72;Active;Inactive;Active;18
01 01 2019 14:30:00;-15.8;25;24.4;Active;Inactive;Inactive;Active;27.6;-34.1;55;Active;Inactive;Inactive;14.4
01 01 2019 14:35:00;-15.4;37;24.4;Active;Inactive;Inactive;Active;32.4;-28.3;86;Active;Inactive;Inactive;21.6
01 01 2019 14:40:00;-9.5;57;24.5;Active;Inactive;Inactive;Active;24;-31.5;80;Active;Inactive;Active;21.6
01 01 2019 14:45:00;-14.4;48;24.5;Active;Inactive;Inactive;Active;30;-32.3;67;Active;Inactive;Inactive;20.4
01 01 2019 14:50:00;-16.6;16;24.5;Active;Inactive;Inactive;Active;36;-32.6;56;Active;Inactive;Inactive;22.8
01 01 2019 14:55:00;-12.2;90;24.5;Active;Inactive;Inactive;Active;27.6;-34.1;32;Active;Inactive;Active;19.2
01 01 2019 15:00:00;-9.5;64;24.5;Active;Inactive;Inactive;Inactive;31.2;-31.4;78;Active;Inactive;Inactive;18
01 01 2019 15:05:00;-15.2;37;24.6;Active;Inactive;Inactive;Active;37.2;-33;52;Active;Inactive;Active;20.4
01 01 2019 15:10:00;-14.1;61;24.7;Active;Inactive;Inactive;Active;31.2;-33.6;43;Active;Inactive;Active;19.2
01 01 2019 15:15:00;-12.2;88;24.7;Active;Inactive;Inactive;Active;32.4;-31.2;88;Active;Inactive;Inactive;19.2
01 01 2019 15:20:00;-10.7;58;24.6;Active;Inactive;Inactive;Inactive;32.4;-33.9;35;Active;Inactive;Active;19.2
01 01 2019 15:25:00;-13.9;57;24.5;Active;Inactive;Inactive;Active;27.6;-34;49;Active;Inactive;Inactive;16.8
01 01 2019 15:30:00;-13;81;24.4;Active;Inactive;Inactive;Inactive;32.4;-31.7;76;Active;Inactive;Inactive;15.6
01 01 2019 15:35:00;-12.7;82;24.3;Active;Inactive;Inactive;Inactive;26.4;-32.9;45;Active;Inactive;Active;19.2
01 01 2019 15:40:00;-12.3;90;24.3;Active;Inactive;Inactive;Inactive;26.4;-32.5;70;Active;Inactive;Inactive;18
01 01 2019 15:45:00;-14.6;55;24;Active;Inactive;Inactive;Inactive;30;-32;91;Active;Inactive;Inactive;18
01 01 2019 15:50:00;-12.3;100;23.9;Active;Inactive;Inactive;Inactive;33.6;-30.5;100;Active;Inactive;Inactive;19.2
01 01 2019 15:55:00;-10.1;49;23.8;Active;Active;Inactive;Inactive;30;-35.1;3;Active;Inactive;Active;18
01 01 2019 16:00:00;-14.9;41;23.7;Active;Inactive;Inactive;Inactive;33.6;-32.8;48;Active;Inactive;Inactive;19.2
01 01 2019 16:05:00;-12.9;79;23.5;Active;Active;Inactive;Inactive;36;-33.3;40;Active;Inactive;Active;20.4
01 01 2019 16:10:00;-15.2;46;23.5;Active;Active;Inactive;Inactive;28.8;-31.4;100;Active;Inactive;Inactive;18
01 01 2019 16:15:00;-12.7;78;23.3;Active;Inactive;Inactive;Inactive;34.8;-33;43;Active;Inactive;Inactive;18
01 01 2019 16:20:00;-15.7;29;23;Active;Inactive;Inactive;Inactive;32.4;-31.6;88;Active;Inactive;Inactive;25.2
01 01 2019 16:25:00;-17;2;22.9;Active;Active;Inactive;Inactive;27.6;-33.6;38;Active;Inactive;Inactive;21.6
01 01 2019 16:30:00;-12.2;99;22.5;Active;Inactive;Inactive;Inactive;30;-34.6;0;Inactive;Inactive;Inactive;18
